target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,10818,5506,0.7223029422448238,0.0382833853191123,0.9617166146808876,1.0,0.9728989091990479,95.47260522221005
goals,10818,5506,0.76080639302579,0.014406128660088474,0.9855938713399115,1.0,0.9858955912015649,97.85902777324458
points,10818,5506,0.5824555030875409,0.04931659822163026,0.9753417008891849,1.0,0.9605970657832581,90.16444180800977
shots_on_goal,10818,5506,0.3009444242644388,0.17178456368377826,0.9570538590790554,1.0,0.8935753119216129,77.68514586216536
