target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9234,4892,0.821340964840556,0.5446792138768836,0.45532078612311644,1.0,0.8967023518718507,81.77300850878976
goals,9234,4892,0.8793949304987735,0.3539155307307393,0.6460844692692607,1.0,0.9195510788788647,85.40224764691553
points,9234,4892,0.7395748160261651,0.7292336045892875,0.6353831977053562,1.0,0.8690428586556807,85.3349171587641
shots_on_goal,9234,4892,0.6204006541291905,1.7315902770573666,0.5671024307356584,1.0,0.7618417260571201,77.44751634780857
